AgeBP,YearCE,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
-150000,-148050,140.6029,207.3132,303.7152,406.0222,486.1404,518.508,490.8341,412.9019,309.7447,210.921,142.0245,117.4992
-149000,-147050,140.0255,205.1687,299.5554,400.603,481.5205,516.8383,492.7552,417.0796,314.0078,213.8232,143.4375,117.8929
-148000,-146050,139.8102,203.4984,295.7258,394.9511,475.8733,513.5828,493.1367,420.2971,317.9902,216.8475,145.076,118.5399
-147000,-145050,139.9951,202.446,292.5098,389.4487,469.5412,508.8787,491.848,422.251,321.3826,219.7858,146.8385,119.4108
-146000,-144050,140.5842,202.118,290.1667,384.4975,462.9506,502.9964,488.8885,422.7151,323.8905,222.4099,148.5957,120.4472
-145000,-143050,141.5432,202.5716,288.9105,380.4881,456.5821,496.3274,484.402,421.5715,325.265,224.4902,150.1982,121.5631
-144000,-142050,142.7991,203.8062,288.8907,377.7691,450.9338,489.3571,478.6742,418.8326,325.3325,225.8192,151.4894,122.6503
-143000,-141050,144.2437,205.759,290.1764,376.6184,446.4818,482.6271,472.1147,414.6499,324.0191,226.2339,152.321,123.5878
-142000,-140050,145.7404,208.305,292.7459,377.2187,443.6418,476.6911,465.2251,409.3067,321.3646,225.6366,152.5685,124.2531
-141000,-139050,147.1357,211.2623,296.4815,379.6395,442.7358,472.0699,458.5567,403.1966,317.5247,224.0088,152.1471,124.5348
-140000,-138050,148.2725,214.4027,301.1704,383.8241,443.9645,469.2106,452.6647,396.7897,312.7599,221.4176,151.0228,124.3463
-139000,-137050,149.006,217.468,306.5128,389.5847,447.3874,468.4508,448.0636,390.5924,307.4132,218.0121,149.2186,123.6357
-138000,-136050,149.2184,220.1904,312.1379,396.6045,452.9097,469.9915,445.1873,385.1057,301.8807,214.0106,146.8143,122.3936
-137000,-135050,148.8319,222.3159,317.6283,404.4498,460.2774,473.8775,444.3574,380.786,296.5778,209.6826,143.9411,120.6554
-136000,-134050,147.8182,223.6284,322.5508,412.5921,469.0817,479.9849,445.7579,378.012,291.9068,205.3258,140.77,118.5002
-135000,-133050,146.203,223.972,326.493,420.442,478.7744,488.0175,449.4185,377.0591,288.227,201.2421,137.4984,116.0438
-134000,-132050,144.0651,223.2679,329.1019,427.3923,488.6962,497.513,455.2044,378.0793,285.832,197.7168,134.3344,113.4301
-133000,-131050,141.5311,221.525,330.119,432.8699,498.1186,507.8605,462.8144,381.089,284.9304,194.9994,131.4823,110.82
-132000,-130050,138.765,218.8418,329.4096,436.389,506.2992,518.3332,471.7872,385.9608,285.6337,193.2897,129.1303,108.3801
-131000,-129050,135.9562,215.3992,326.98,437.6019,512.5455,528.136,481.5203,392.4229,287.9469,192.7269,127.4397,106.2721
-130000,-128050,133.3057,211.4464,322.9817,436.3387,516.2816,536.4665,491.3025,400.0655,291.7633,193.382,126.5375,104.6435
-129000,-127050,131.0119,207.2804,317.7006,432.6314,517.1108,542.5868,500.3617,408.3571,296.8638,195.2516,126.5101,103.6204
-128000,-126050,129.2587,203.2227,311.5334,426.718,514.8631,545.8974,507.9261,416.6739,302.9218,198.2544,127.3983,103.3012
-127000,-125050,128.204,199.5944,304.9537,419.0247,509.6233,546.0046,513.2951,424.3419,309.5147,202.2291,129.1929,103.7512
-126000,-124050,127.9703,196.6937,298.4719,410.1298,501.7316,542.7722,515.9123,430.6917,316.1475,206.9364,131.8304,104.9974
-125000,-123050,128.6365,194.7752,292.5951,400.7129,491.7577,536.3473,515.4312,435.1219,322.2855,212.0662,135.1898,107.0235
-124000,-122050,130.2295,194.0332,287.7886,391.4965,480.451,527.1572,511.7636,437.1642,327.3987,217.253,139.0921,109.7642
-123000,-121050,132.7177,194.5866,284.4423,383.1867,468.6736,515.8751,505.1018,436.5406,331.0132,222.0999,143.3039,113.1018
-122000,-120050,136.0043,196.4679,282.8448,376.4192,457.3243,503.3588,495.9103,433.2049,332.7635,226.2114,147.5478,116.8646
-121000,-119050,139.9243,199.6129,283.1612,371.7131,447.2637,490.5725,484.8861,427.3598,332.4397,229.2327,151.5206,120.8307
-120000,-118050,144.2461,203.8558,285.4183,369.4359,439.248,478.4997,472.8936,419.4445,330.0196,230.8901,154.9191,124.7394
-119000,-117050,148.6807,208.9285,289.4937,369.7771,433.8742,468.0606,460.8817,410.0948,325.6803,231.0276,157.4716,128.31
-118000,-116050,152.9015,214.4708,295.1133,372.7305,431.5402,460.04,449.7976,400.0805,319.7855,229.6307,158.9705,131.2682
-117000,-115050,156.5719,220.0512,301.858,378.0862,432.417,455.0317,440.5044,390.2288,312.8491,226.8342,159.3006,133.3774
-116000,-114050,159.382,225.2019,309.1862,385.4333,436.4338,453.3993,433.7142,381.3464,305.4813,222.9101,158.4572,134.4693
-115000,-113050,161.0865,229.4652,316.4722,394.1774,443.2739,455.252,429.9372,374.1481,298.3248,218.2371,156.5498,134.4673
-114000,-112050,161.5374,232.4457,323.0626,403.5782,452.3858,460.4347,429.4498,369.201,291.9915,213.2576,153.7888,133.3993
-113000,-111050,160.7062,233.86,328.3441,412.8086,463.0138,468.5313,432.2771,366.885,287.008,208.4284,150.4597,131.3948
-112000,-110050,158.6886,233.5752,331.8153,421.0327,474.251,478.8853,438.1897,367.3701,283.7736,204.1737,146.8873,128.6674
-111000,-109050,155.6911,231.6264,333.1484,427.4942,485.1158,490.6411,446.7154,370.6074,282.5344,200.8468,143.3976,125.486
-110000,-108050,152.0028,228.2119,332.2299,431.6033,494.6466,502.8082,457.1663,376.3334,283.3699,198.7029,140.2843,122.141
-109000,-107050,147.9581,223.6646,329.1735,433.006,502.0035,514.3488,468.687,384.0861,286.1925,197.8838,137.7824,118.9111
-108000,-106050,143.8965,218.4077,324.3003,431.6233,506.5611,524.2772,480.3224,393.2368,290.7555,198.414,136.0524,116.0361
-107000,-105050,140.1286,212.9035,318.0934,427.6536,507.9769,531.7631,491.1028,403.0362,296.6727,200.2041,135.174,113.6991
-106000,-104050,136.9101,207.6027,311.1365,421.5399,506.2236,536.2183,500.1376,412.6768,303.4464,203.0621,135.1471,112.0172
-105000,-103050,134.4265,202.9045,304.0456,413.9074,501.5803,537.3561,506.7048,421.3651,310.5076,206.7103,135.8985,111.0403
-104000,-102050,132.7876,199.1275,297.4087,405.4863,494.5869,535.2126,510.3229,428.397,317.2636,210.8089,137.2929,110.7557
-103000,-101050,132.0293,196.4945,291.736,397.0322,485.9709,530.1275,510.7951,433.2262,323.1514,214.9837,139.1468,111.0958
-102000,-100050,132.1194,195.1276,287.4282,389.2552,476.5613,522.6913,508.2179,435.5153,327.6896,218.8587,141.2452,111.9489
-101000,-99050,132.9667,195.0506,284.7581,382.7653,467.2026,513.6696,502.9564,435.1631,330.5233,222.0892,143.36,113.17
-100000,-98050,134.4317,196.1967,283.8653,378.0355,458.6801,503.9156,495.5913,432.3044,331.4551,224.3925,145.2698,114.5947
-99000,-97050,136.3385,198.4179,284.7585,375.382,451.6628,494.2875,486.8484,427.2842,330.4584,225.573,146.7781,116.0517
-98000,-96050,138.4876,201.4981,287.3236,374.9573,446.6648,485.5757,477.5207,420.6116,327.6732,225.5377,147.7306,117.3772
-97000,-95050,140.6714,205.1676,291.3351,376.7518,444.0244,478.4484,468.3951,412.9022,323.3833,224.3013,148.0275,118.4275
-96000,-94050,142.6885,209.1208,296.4713,380.6024,443.8958,473.4149,460.1899,404.8157,317.9826,221.9803,147.6305,119.0907
-95000,-93050,144.3601,213.0377,302.3346,386.2055,446.2503,470.8044,453.5069,396.9986,311.9327,218.7775,146.5642,119.2947
-94000,-92050,145.5432,216.6069,308.4765,393.1357,450.8853,470.7584,448.8005,390.0351,305.7199,214.9595,144.9113,119.0126
-93000,-91050,146.1424,219.5502,314.4284,400.8716,457.4382,473.2315,446.3586,384.4105,299.8147,210.8309,142.8034,118.2635
