AgeBP,YearCE,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
-150000,-148050,2.7893,-0.5197,-2.9141,3.2286,16.3921,25.7285,23.7409,12.4714,3.2452,1.691,3.0993,2.7829
-149000,-147050,2.697,-1.3062,-5.4003,-1.0243,12.1704,24.1397,25.5315,15.7703,5.7931,2.7345,3.2813,2.791
-148000,-146050,2.568,-1.9797,-7.6891,-5.3853,7.1689,21.2347,26.0777,18.3938,8.1733,3.7592,3.4042,2.7335
-147000,-145050,2.409,-2.4861,-9.6113,-9.5582,1.6923,17.1365,25.2549,20.103,10.2008,4.688,3.4525,2.6093
-146000,-144050,2.2229,-2.7842,-11.0117,-13.2332,-3.8825,12.0887,23.0491,20.7148,11.6997,5.4396,3.41,2.4183
-145000,-143050,2.0093,-2.8505,-11.7624,-16.1101,-9.1319,6.4448,19.5712,20.1269,12.5212,5.9354,3.2616,2.1625
-144000,-142050,1.7645,-2.6816,-11.7743,-17.9213,-13.6171,0.6464,15.0573,18.3362,12.5616,6.1086,2.9965,1.846
-143000,-141050,1.4826,-2.296,-11.0059,-18.4549,-16.9187,-4.811,9.8545,15.4462,11.7766,5.9118,2.6096,1.4766
-142000,-140050,1.1578,-1.7331,-9.4701,-17.5728,-18.6704,-9.4176,4.3953,11.6634,10.1901,5.3243,2.1041,1.0655
-141000,-139050,0.7855,-1.051,-7.2374,-15.2263,-18.59,-12.6909,-0.8392,7.282,7.8951,4.3558,1.4919,0.6275
-140000,-138050,0.3645,-0.3217,-4.435,-11.4667,-16.5054,-14.2163,-5.3594,2.6583,5.0473,3.0471,0.7932,0.1798
-139000,-137050,-0.1022,0.3743,-1.242,-6.4503,-12.3751,-13.682,-8.7082,-1.8193,1.8517,1.4668,0.0353,-0.2594
-138000,-136050,-0.6064,0.9558,2.12,-0.437,-6.3017,-10.9082,-10.4976,-5.7637,-1.4549,-0.2939,-0.7504,-0.6729
-137000,-135050,-1.1356,1.3477,5.4014,6.2178,1.4607,-5.8696,-10.4412,-8.8196,-4.6243,-2.1293,-1.5302,-1.0458
-136000,-134050,-1.6733,1.4892,8.3434,13.0811,10.5098,1.2896,-8.3781,-10.6908,-7.4161,-3.9273,-2.2715,-1.3675
-135000,-133050,-2.2007,1.3396,10.6996,19.6696,20.308,10.2499,-4.2918,-11.162,-9.6153,-5.578,-2.9446,-1.6314
-134000,-132050,-2.6979,0.8835,12.2589,25.4849,30.2103,20.5207,1.6787,-10.1149,-11.0468,-6.9802,-3.5235,-1.8355
-133000,-131050,-3.1453,0.1323,12.8668,30.0561,39.5051,31.4595,9.2359,-7.5398,-11.5856,-8.0474,-3.9873,-1.9806
-132000,-130050,-3.5246,-0.8749,12.4427,32.9844,47.4686,42.3063,17.9298,-3.5425,-11.1653,-8.7109,-4.3191,-2.0694
