AgeBP,YearCE,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
-150000,-148050,388.8233,411.0172,429.5181,433.4666,426.2729,422.3755,430.3885,440.8112,438.0452,418.1699,392.7545,379.9234
-149000,-147050,387.283,406.7901,423.6353,427.6631,422.1909,420.9789,432.0414,445.2528,444.0741,423.9495,396.7198,381.2715
-148000,-146050,387.1286,403.6701,418.2195,421.4909,416.9999,418.043,432.1275,448.54,449.706,430.1503,401.7092,383.9576
-147000,-145050,388.4628,401.9371,413.6713,415.3653,411.0126,413.6917,430.5387,450.3505,454.5036,436.3637,407.4521,387.8935
-146000,-144050,391.2895,401.7953,410.3576,409.7256,404.6229,408.1691,427.2929,450.4508,458.0503,442.1339,413.5879,392.8867
-145000,-143050,395.5014,403.3503,408.5812,405.0002,398.2767,401.8257,422.5441,448.7304,459.9941,446.9936,419.6853,398.6419
-144000,-142050,400.8758,406.592,408.5531,401.5727,392.4361,395.0931,416.5778,445.2236,460.0897,450.5079,425.2718,404.773
-143000,-141050,407.0789,411.3841,410.3713,399.7501,387.5425,388.4488,409.7916,440.1176,458.2322,452.3207,429.8742,410.8258
-142000,-140050,413.6827,417.4627,414.0052,399.7376,383.9814,382.3768,402.6622,433.7412,454.4782,452.1968,433.0641,416.3131
-141000,-139050,420.1919,424.4449,419.2882,401.6188,382.0531,377.329,395.7056,426.5397,449.0478,450.0538,434.5038,420.7564
-140000,-138050,426.0822,431.8484,425.9193,405.3439,381.9498,373.6914,389.4347,419.0365,442.3092,445.9779,433.9857,423.7328
-139000,-137050,430.8455,439.1233,433.4746,410.7259,383.7397,371.7566,384.3197,411.7883,434.7479,440.2218,431.4601,424.9196
-138000,-136050,434.0384,445.693,441.4297,417.4437,387.3588,371.7039,380.7542,405.3407,426.9238,433.1842,427.0455,424.1309
-137000,-135050,435.3277,451.0039,449.1943,425.0565,392.609,373.5867,379.0295,400.187,419.4244,425.3753,421.0222,421.342
-136000,-134050,434.5274,454.5769,456.1557,433.027,399.1635,377.3259,379.3161,396.7342,412.8185,417.3724,413.8085,416.6963
-135000,-133050,431.6222,456.0554,461.7309,440.7565,406.5812,382.7093,381.6517,395.2775,407.6146,409.7725,405.9246,410.4959
-134000,-132050,426.7739,455.2453,465.4204,447.6295,414.3302,389.3977,385.935,395.9815,404.2275,403.1464,397.9479,403.1756
-133000,-131050,420.3098,452.1387,466.8588,453.0649,421.8219,396.939,391.9253,398.8682,402.9525,397.9992,390.4678,395.2663
-132000,-130050,412.6953,446.9208,465.8555,456.5706,428.4545,404.792,399.2488,403.8102,403.9471,394.7381,384.0413,387.3503
-131000,-129050,404.4947,439.9563,462.4195,457.7934,433.663,412.3597,407.4126,410.5298,407.2184,393.6479,379.1566,380.0167
-130000,-128050,396.3244,431.7594,456.765,456.5594,436.9723,419.0335,415.8304,418.6052,412.6156,394.8732,376.2023,373.818
-129000,-127050,388.8049,422.95,449.2965,452.8981,438.0468,424.2446,423.8587,427.4867,419.8289,398.4055,375.4447,369.2346
-128000,-126050,382.5161,414.2021,440.5748,447.0472,436.7296,427.5177,430.8453,436.5247,428.396,404.0759,377.0105,366.6444
-127000,-125050,377.958,406.191,431.2696,439.4358,433.0659,428.5224,436.1861,445.012,437.7199,411.5528,380.8733,366.2998
-126000,-124050,375.5188,399.5428,422.103,430.6484,427.3073,427.1134,439.3846,452.239,447.1,420.3487,386.8458,368.3099
-125000,-123050,375.4493,394.7919,413.792,421.3754,419.8941,423.3549,440.1082,457.5588,455.7805,429.8391,394.5766,372.6257
-124000,-122050,377.8434,392.3446,406.9945,412.354,411.4183,417.5232,438.2318,460.4547,463.0117,439.2964,403.5571,379.0315
-123000,-121050,382.6221,392.4517,402.2622,404.3081,402.5716,410.0866,433.8619,460.6028,468.1233,447.942,413.1419,387.1419
